абаза	абаза́,аба́за
корячку	корячку́,коря́чку
корячок	корячо́к,коря́чок
коса	коса́,ко́са
косарю	косарю́,коса́рю
косачу	косачу́,коса́чу
косенівська	косе́нівська,ко́сенівська
косенівське	косе́нівське,ко́сенівське
косенівський	косе́нівський,ко́сенівський
косенівським	косе́нівським,ко́сенівським
косенівськими	косе́нівськими,ко́сенівськими
косенівських	косе́нівських,ко́сенівських
косенівські	косе́нівські,ко́сенівські
косенівській	косе́нівській,ко́сенівській
косенівськім	косе́нівськім,ко́сенівськім
косенівського	косе́нівського,ко́сенівського
косенівської	косе́нівської,ко́сенівської
косенівському	косе́нівському,ко́сенівському
косенівською	косе́нівською,ко́сенівською
косенівську	косе́нівську,ко́сенівську
Косенкам	Косенка́м,Косе́нкам
Косенками	Косенка́ми,Косе́нками
Косенки	Косенки́,Косе́нки
Косенків	Косенкі́в,Косе́нків
коси	коси́,ко́си
Коси	Коси́,Ко́си
косицька	коси́цька,ко́сицька
косицьке	коси́цьке,ко́сицьке
косицький	коси́цький,ко́сицький
косицьким	коси́цьким,ко́сицьким
косицькими	коси́цькими,ко́сицькими
косицьких	коси́цьких,ко́сицьких
косицькі	коси́цькі,ко́сицькі
косицькій	коси́цькій,ко́сицькій
косицькім	коси́цькім,ко́сицькім
косицького	коси́цького,ко́сицького
косицької	коси́цької,ко́сицької
косицькому	коси́цькому,ко́сицькому
косицькою	коси́цькою,ко́сицькою
косицьку	коси́цьку,ко́сицьку
косі	косі́,ко́сі
Косі	Косі́,Ко́сі,Ко́сі́
косівська	косі́вська,ко́сівська
косівське	косі́вське,ко́сівське
косівський	косі́вський,ко́сівський
косівським	косі́вським,ко́сівським
косівськими	косі́вськими,ко́сівськими
косівських	косі́вських,ко́сівських
косівські	косі́вські,ко́сівські
косівській	косі́вській,ко́сівській
косівськім	косі́вськім,ко́сівськім
косівського	косі́вського,ко́сівського
косівської	косі́вської,ко́сівської
косівському	косі́вському,ко́сівському
косівською	косі́вською,ко́сівською
косівську	косі́вську,ко́сівську
Косівці	Косі́вці,Ко́сівці
косім	косі́м,ко́сім
Космач	Космач,Косма́ч
косою	косо́ю,ко́сою
костилю	костилю́,кости́лю
Костинці	Костинці́,Ко́стинці
Костівці	Кості́вці,Ко́стівці
Кострижівка	Кострижі́вка,Костри́жівка
Кострижівки	Кострижі́вки,Костри́жівки
Кострижівко	Кострижі́вко,Костри́жівко
Кострижівкою	Кострижі́вкою,Костри́жівкою
Кострижівку	Кострижі́вку,Костри́жівку
Кострижівці	Кострижі́вці,Костри́жівці
костур	косту́р,ко́стур
костура	косту́ра,ко́стура
костурам	косту́рам,ко́стурам
костурами	косту́рами,ко́стурами
костурах	косту́рах,ко́стурах
костури	косту́ри,ко́стури
костурі	косту́рі,ко́стурі
костуру	косту́ру,ко́стуру
Косу	Косу́,Ко́су
косу	ко́су,ко́су́
Кота	Кота́,Ко́та
котарю	котарю́,кота́рю
Котах	Кота́х,Ко́тах
Котельникова	Коте́льникова,Коте́льнико́ва
Котельникову	Коте́льникову,Коте́льнико́ву
Котенкам	Котенка́м,Коте́нкам
Котенками	Котенка́ми,Коте́нками
Котенки	Котенки́,Коте́нки
Котенків	Котенкі́в,Коте́нків
Коти	Коти́,Ко́ти
котиш	коти́ш,ко́тиш
котишу	коти́шу,ко́тишу
Коті	Коті́,Ко́ті
Котів	Коті́в,Ко́тів
Котівка	Коті́вка,Ко́тівка
Котівки	Коті́вки,Ко́тівки
Котівко	Коті́вко,Ко́тівко
Котівкою	Коті́вкою,Ко́тівкою
Котівку	Коті́вку,Ко́тівку
Котівці	Котівці́,Коті́вці,Ко́тівці
котлові	котло́ві,котло́ві́
Котова	Кото́ва,Ко́това,Ко́то́ва
Котові	Кото́ві,Ко́тові,Ко́то́ві
Котовом	Ко́товом,Ко́то́вом
Котову	Кото́ву,Ко́тову,Ко́то́ву
Коту	Коту́,Ко́ту
котусю	котусю́,коту́сю
котячи	котячи́,ко́тячи
кохана	коха́на,ко́хана
кохане	коха́не,ко́хане
коханий	коха́ний,ко́ханий
коханим	коха́ним,ко́ханим
коханими	коха́ними,ко́ханими
коханих	коха́них,ко́ханих
кохані	кохані́,коха́ні,ко́хані
коханівська	кохані́вська,ко́ханівська
коханівське	кохані́вське,ко́ханівське
коханівський	кохані́вський,ко́ханівський
коханівським	кохані́вським,ко́ханівським
коханівськими	кохані́вськими,ко́ханівськими
коханівських	кохані́вських,ко́ханівських
коханівські	кохані́вські,ко́ханівські
коханівській	кохані́вській,ко́ханівській
коханівськім	кохані́вськім,ко́ханівськім
коханівського	кохані́вського,ко́ханівського
коханівської	кохані́вської,ко́ханівської
коханівському	кохані́вському,ко́ханівському
коханівською	кохані́вською,ко́ханівською
коханівську	кохані́вську,ко́ханівську
коханій	коха́ній,ко́ханій
коханім	коха́нім,ко́ханім
кохано	коха́но,ко́хано
Коханові	Коха́нові,Ко́ха́нові
коханого	коха́ного,ко́ханого
коханої	коха́ної,ко́ханої
коханому	коха́ному,ко́ханому
коханою	коха́ною,ко́ханою
кохану	коха́ну,ко́хану
коханю	коханю́,коха́ню
коцюби	коцюби́,коцю́би
Кочергам	Кочерга́м,Коче́ргам
Кочергами	Кочерга́ми,Коче́ргами
кочерги	кочерги́,коче́рги
Кочерги	Кочерги́,Коче́рги
кочу	кочу́,ко́чу
Кочур	Кочу́р,Ко́чур
Кочурі	Кочу́рі,Ко́чурі
Кочурові	Кочу́рові,Ко́чурові
Кочуру	Кочу́ру,Ко́чуру
кошикарю	кошикарю́,кошика́рю
Кошмаку	Кошмаку́,Кошма́ку
кошми	кошми́,ко́шми
Кравців	Кравці́в,Кра́вців
Кравченкам	Кравченка́м,Кра́вченкам
Кравченками	Кравченка́ми,Кра́вченками
Кравченки	Кравченки́,Кра́вченки
Кравченків	Кравченкі́в,Кра́вченків
кравченківська	кравченкі́вська,кра́вченківська
кравченківське	кравченкі́вське,кра́вченківське
кравченківський	кравченкі́вський,кра́вченківський
кравченківським	кравченкі́вським,кра́вченківським
кравченківськими	кравченкі́вськими,кра́вченківськими
кравченківських	кравченкі́вських,кра́вченківських
кравченківські	кравченкі́вські,кра́вченківські
кравченківській	кравченкі́вській,кра́вченківській
кравченківськім	кравченкі́вськім,кра́вченківськім
кравченківського	кравченкі́вського,кра́вченківського
кравченківської	кравченкі́вської,кра́вченківської
кравченківському	кравченкі́вському,кра́вченківському
кравченківською	кравченкі́вською,кра́вченківською
кравченківську	кравченкі́вську,кра́вченківську
крадію	крадію́,краді́ю
краї	краї́,кра́ї
крайка	крайка́,кра́йка
крайки	крайки́,кра́йки
крайку	крайку́,кра́йку
кракам	крака́м,кра́кам
краками	крака́ми,кра́ками
краках	крака́х,кра́ках
краки	краки́,кра́ки
краків	кракі́в,кра́ків
Крамаренкам	Крамаре́нкам,Крама́ренкам
Крамаренками	Крамаре́нками,Крама́ренками
Крамаренки	Крамаре́нки,Крама́ренки
Крамаренків	Крамаре́нків,Крама́ренків
крамарю	кра́марю́,кра́ма́рю
Крамарю	Кра́марю́,Кра́ма́рю
кранова	кранова́,кра́нова
крановий	кранови́й,кра́новий
крановим	кранови́м,кра́новим
крановими	кранови́ми,кра́новими
кранових	кранови́х,кра́нових
кранові	кранові́,кра́нові
крановім	кранові́м,кра́новім
кранового	краново́го,кра́нового
крановому	краново́му,кра́новому
крановою	краново́ю,кра́новою
кранову	кранову́,кра́нову
крапельки	крапельки́,кра́пельки
крапки	крапки́,кра́пки
крапові	крапо́ві,кра́пові
крапочки	крапочки́,кра́почки
краса	краса́,кра́са
Красавич	Красавич,Красави́ч
красив	краси́в,кра́си́в
красивши	краси́вши,кра́си́вши
красила	краси́ла,кра́си́ла
красили	краси́ли,кра́си́ли
красило	краси́ло,кра́си́ло
красити	краси́ти,кра́си́ти
краситиме	краси́тиме,кра́си́тиме
краситимем	краси́тимем,кра́си́тимем
краситимемо	краси́тимемо,кра́си́тимемо
краситимете	краси́тимете,кра́си́тимете
краситимеш	краси́тимеш,кра́си́тимеш
краситиму	краси́тиму,кра́си́тиму
краситимуть	краси́тимуть,кра́си́тимуть
красі	красі́,кра́сі
красій	красі́й,кра́сій
красім	красі́м,кра́сім
красоти	красоти́,красо́ти
красою	красо́ю,кра́сою
красу	красу́,кра́су
красуні	красуні́,красу́ні
красуню	красуню́,красу́ню
красуня	красуня́,красу́ня
красуням	красуня́м,красу́ням
красунями	красуня́ми,красу́нями
красунях	красуня́х,красу́нях
крашанки	крашанки́,кра́шанки
крашу	крашу́,кра́шу
краю	краю́,кра́ю
кредит	креди́т,кре́дит
кредитам	креди́там,кре́дитам
кредитами	креди́тами,кре́дитами
кредитах	креди́тах,кре́дитах
кредите	креди́те,кре́дите
кредити	креди́ти,кре́дити
кредиті	креди́ті,кре́диті
кредитів	креди́тів,кре́дитів
кредитова	кредито́ва,кре́дитова
кредитове	кредито́ве,кре́дитове
кредитовий	кредито́вий,кре́дитовий
кредитовим	кредито́вим,кре́дитовим
кредитовими	кредито́вими,кре́дитовими
кредитових	кредито́вих,кре́дитових
кредитові	кредито́ві,креди́тові,кре́дитові
кредитовій	кредито́вій,кре́дитовій
кредитовім	кредито́вім,кре́дитовім
кредитового	кредито́вого,кре́дитового
кредитової	кредито́вої,кре́дитової
кредитовому	кредито́вому,кре́дитовому
кредитовою	кредито́вою,кре́дитовою
кредитову	кредито́ву,кре́дитову
кредитом	креди́том,кре́дитом
кредиту	креди́ту,кре́диту
кременеві	кремене́ві,кре́меневі
кремені	креме́ні,кре́мені
кремлю	кремлю́,кре́млю
крени	крени́,кре́ни
кресне	кресне́,кре́сне
креснув	кресну́в,кре́снув
креснувши	кресну́вши,кре́снувши
креснула	кресну́ла,кре́снула
креснули	кресну́ли,кре́снули
креснуло	кресну́ло,кре́снуло
креснути	кресну́ти,кре́снути
креснуть	кресну́ть,кре́снуть
кривав	крива́в,кри́вав
кривим	криви́м,кри́вим
Кривице	Криви́це,Кри́вице
Кривицею	Криви́цею,Кри́вицею
Кривиці	Криви́ці,Кри́виці
Кривицю	Криви́цю,Кри́вицю
Кривиця	Криви́ця,Кри́виця
Кривичам	Кривича́м,Кри́вичам
Кривичами	Кривича́ми,Кри́вичами
Кривичах	Кривича́х,Кри́вичах
Кривичі	Кривичі́,Кри́вичі
Кривичів	Кривичі́в,Кри́вичів
Кривка	Кривка́,Кри́вка
Кривкам	Кривка́м,Кри́вкам
Кривками	Кривка́ми,Кри́вками
Кривки	Кривки́,Кри́вки
Кривко	Кривко́,Кри́вко
Кривку	Кривку́,Кри́вку
Кривобокове	Кривобокове́,Кривобо́кове
Кривобоковим	Кривобокови́м,Кривобо́ковим
Криворучкам	Кривору́чкам,Криво́ручкам
Криворучками	Кривору́чками,Криво́ручками
Криворучки	Кривору́чки,Криво́ручки
кривульки	криву́льки,криву́льки́
Кривуші	Криву́ші,Кри́вуші
Кривці	Кривці́,Кри́вці
крижова	крижова́,крижо́ва́
крижове	крижове́,крижо́ве́
крижовий	крижови́й,крижо́ви́й
крижовим	крижови́м,крижо́ви́м
крижовими	крижови́ми,крижо́ви́ми
крижових	крижови́х,крижо́ви́х
крижові	крижові́,крижо́ві́
крижовій	крижові́й,крижо́ві́й
крижовім	крижові́м,крижо́ві́м
крижового	крижово́го,крижо́во́го
крижової	крижово́ї,крижо́во́ї
крижовому	крижово́му,крижо́во́му
крижовою	крижово́ю,крижо́во́ю
крижову	крижову́,крижо́ву́
крила	крила́,кри́ла
крилі	крилі́,кри́лі
Крилівка	Крилі́вка,Кри́лівка
Крилівки	Крилі́вки,Кри́лівки
Крилівко	Крилі́вко,Кри́лівко
Крилівкою	Крилі́вкою,Кри́лівкою
Крилівку	Крилі́вку,Кри́лівку
Крилівці	Крилі́вці,Кри́лівці
крило	крило́,кри́ло
Крилова	Крило́ва,Кри́лова
Крилове	Крило́ве,Кри́лове
Крилову	Крило́ву,Кри́лову
крильця	кри́льця,кри́льця́
Кримка	Кримка́,Кри́мка
Кримку	Кримку́,Кри́мку
Криму	Криму́,Кри́му
Криничкам	Криничка́м,Крини́чкам
Криничками	Криничка́ми,Крини́чками
Криничках	Криничка́х,Крини́чках
Кринички	Кринички́,Крини́чки
кринички	крини́чки,крини́чки́
Кринична	Крини́чна,Кри́нична
Криничною	Крини́чною,Кри́ничною
Криничну	Крини́чну,Кри́ничну
Криничок	Криничо́к,Крини́чок
крихи	кри́хи,кри́хи́
крихіткам	кри́хіткам,кри́хітка́м
крихітками	кри́хітками,кри́хітка́ми
крихітках	кри́хітках,кри́хітка́х
крихітки	кри́хітки,кри́хітки́
крихіток	кри́хіток,кри́хіто́к
крихточки	кри́хточки,кри́хточки́
кришечки	кришечки́,кри́шечки
кришини	криши́ни,кри́шини
кришки	кришки́,кри́шки
кришталеві	криштале́ві,кришта́леві
Кркові	Крко́ві,Ќркові
кров'янив	кров'яни́в,кров'я́нив
кров'янивши	кров'яни́вши,кров'я́нивши
кров'янила	кров'яни́ла,кров'я́нила
кров'янили	кров'яни́ли,кров'я́нили
кров'янило	кров'яни́ло,кров'я́нило
кров'яним	кров'яни́м,кров'я́ним
кров'янимо	кров'янимо́,кров'я́нимо
кров'яните	кров'яните́,кров'я́ните
кров'янити	кров'яни́ти,кров'я́нити
кров'янитиме	кров'яни́тиме,кров'я́нитиме
кров'янитимем	кров'яни́тимем,кров'я́нитимем
кров'янитимемо	кров'яни́тимемо,кров'я́нитимемо
кров'янитимете	кров'яни́тимете,кров'я́нитимете
кров'янитимеш	кров'яни́тимеш,кров'я́нитимеш
кров'янитиму	кров'яни́тиму,кров'я́нитиму
кров'янитимуть	кров'яни́тимуть,кров'я́нитимуть
кров'янить	кров'яни́ть,кров'я́нить
кров'яниш	кров'яни́ш,кров'я́ниш
кров'яню	кров'яню́,кров'я́ню
кров'янять	кров'яня́ть,кров'я́нять
кров'янячи	кров'янячи́,кров'я́нячи
крови	крови́,кро́ви
кровим	крови́м,кро́вим
кровім	крові́м,кро́вім
кровопію	кровопію́,кровопі́ю
крокова	кро́кова,кро́кова́
крокове	кро́кове,кро́кове́
кроковий	кро́ковий,кро́кови́й
кроковим	кро́ковим,кро́кови́м
кроковими	кро́ковими,кро́кови́ми
крокових	кро́кових,кро́кови́х
крокові	кро́кові,кро́кові́
кроковій	кро́ковій,кро́кові́й
кроковім	кро́ковім,кро́кові́м
крокового	кро́кового,кро́ково́го
крокової	кро́кової,кро́ково́ї
кроковому	кро́ковому,кро́ково́му
кроковою	кро́ковою,кро́ково́ю
крокову	кро́кову,кро́кову́
кролеві	кроле́ві,кро́леві
кролем	кроле́м,кро́лем
кролі	кролі́,кро́лі
кролю	кролю́,кро́лю
Кропивне	Кропивне́,Кропи́вне
кропивницька	кропивни́цька,кропи́вницька
кропивницьке	кропивни́цьке,кропи́вницьке
кропивницький	кропивни́цький,кропи́вницький
кропивницьким	кропивни́цьким,кропи́вницьким
Кропивницьким	Кропивни́цьким,Кропи́вницьким
кропивницькими	кропивни́цькими,кропи́вницькими
кропивницьких	кропивни́цьких,кропи́вницьких
кропивницькі	кропивни́цькі,кропи́вницькі
кропивницькій	кропивни́цькій,кропи́вницькій
кропивницькім	кропивни́цькім,кропи́вницькім
кропивницького	кропивни́цького,кропи́вницького
Кропивницького	Кропивни́цького,Кропи́вницького
кропивницької	кропивни́цької,кропи́вницької
кропивницькому	кропивни́цькому,кропи́вницькому
Кропивницькому	Кропивни́цькому,Кропи́вницькому
кропивницькою	кропивни́цькою,кропи́вницькою
кропивницьку	кропивни́цьку,кропи́вницьку
кроплю	кроплю́,кро́плю
крота	крота́,кро́та
кротам	крота́м,кро́там
кротами	крота́ми,кро́тами
кротах	крота́х,кро́тах
кроти	кроти́,кро́ти
кротів	кроті́в,кро́тів
кротові	крото́ві,кро́тові
кротом	крото́м,кро́том
кроту	кроту́,кро́ту
крохалю	крохалю́,кроха́лю
Кругів	Кругі́в,Кру́гів
круглим	кругли́м,кру́глим
круглій	круглі́й,кру́глій
круглім	круглі́м,кру́глім
кругові	кругові́,кру́гові
кругом	круго́м,кру́гом
круків	крукі́в,кру́ків
крупа	крупа́,кру́па
крупам	крупа́м,кру́пам
крупами	крупа́ми,кру́пами
крупах	крупа́х,кру́пах
крупи	крупи́,кру́пи
крупі	крупі́,кру́пі
крупів	крупі́в,кру́пів
крупка	крупка́,кру́пка
крупкою	крупко́ю,кру́пкою
крупку	крупку́,кру́пку
Крупської	Крупсько́ї,Кру́пської
крупу	крупу́,кру́пу
крупці	крупці́,кру́пці
крутарю	крутарю́,крута́рю
Крутеньким	Круте́ньким,Кру́теньким
крутим	крути́м,кру́тим
Крутим	Крути́м,Кру́тим
Крутинці	Крутинці́,Крути́нці
крутію	крутію́,круті́ю
крутнем	крутне́м,кру́тнем
крутні	крутні́,кру́тні
крутню	крутню́,кру́тню
крутня	крутня́,кру́тня
кручу	кручу́,кру́чу
крюка	крюка́,крю́ка
крюкова	крюкова́,крю́кова
крюкове	крюкове́,крю́кове
крюковий	крюкови́й,крю́ковий
крюковим	крюкови́м,крю́ковим
крюковими	крюкови́ми,крю́ковими
крюкових	крюкови́х,крю́кових
крюкові	крюкові́,крюко́ві,крю́кові
крюковій	крюкові́й,крю́ковій
крюковім	крюкові́м,крю́ковім
крюкового	крюково́го,крю́кового
крюкової	крюково́ї,крю́кової
крюковому	крюково́му,крю́ковому
крюковою	крюково́ю,крю́ковою
крюкову	крюкову́,крю́кову
крюком	крюко́м,крю́ком
крюку	крюку́,крю́ку
кряжу	кряжу́,кря́жу
крячка	крячка́,кря́чка
крячки	крячки́,кря́чки
крячку	крячку́,кря́чку
ксаверівська	ксаве́рівська,кса́верівська
ксаверівське	ксаве́рівське,кса́верівське
ксаверівський	ксаве́рівський,кса́верівський
ксаверівським	ксаве́рівським,кса́верівським
ксаверівськими	ксаве́рівськими,кса́верівськими
ксаверівських	ксаве́рівських,кса́верівських
ксаверівські	ксаве́рівські,кса́верівські
ксаверівській	ксаве́рівській,кса́верівській
ксаверівськім	ксаве́рівськім,кса́верівськім
ксаверівського	ксаве́рівського,кса́верівського
ксаверівської	ксаве́рівської,кса́верівської
ксаверівському	ксаве́рівському,кса́верівському
ксаверівською	ксаве́рівською,кса́верівською
ксаверівську	ксаве́рівську,кса́верівську
Ксаверове	Ксаве́рове,Кса́верове
ктирю	ктирю́,кти́рю
Куба	Куба́,Ку́ба
Куби	Куби́,Ку́би
Кубі	Кубі́,Ку́бі
кубла	кубла́,ку́бла
Кубо	Кубо́,Ку́бо
кубова	кубова́,ку́бова
кубове	кубове́,ку́бове
кубовий	кубови́й,ку́бовий
кубовим	кубови́м,ку́бовим
кубовими	кубови́ми,ку́бовими
кубових	кубови́х,ку́бових
кубові	кубові́,ку́бові
кубовій	кубові́й,ку́бовій
кубовім	кубові́м,ку́бовім
кубового	кубово́го,ку́бового
кубової	кубово́ї,ку́бової
кубовому	кубово́му,ку́бовому
кубовою	кубово́ю,ку́бовою
кубову	кубову́,ку́бову
Кубою	Кубо́ю,Ку́бою
Кубу	Кубу́,Ку́бу
куди-інде	куди-і́нде,куди́-і́нде
Кудинівці	Куди́нівці,Ку́динівці
Кудіївці	Кудії́вці,Куді́ївці
кудлаєм	кудлає́м,ку́длаєм
кудлай	кудла́й,ку́длай
кудланю	кудланю́,кудла́ню
кудлачу	кудлачу́,кудла́чу
кудлаю	кудлаю́,кудла́ю,ку́длаю
Кудринці	Ку́дринці,Ку́дри́нці
Кузнецове	Кузнецо́ве,Кузне́цове
Кузнецовим	Кузнецо́вим,Кузне́цовим
кузьки	ку́зьки,ку́зьки́
Кузьменкам	Кузьменка́м,Кузьме́нкам
Кузьменками	Кузьменка́ми,Кузьме́нками
Кузьменки	Кузьменки́,Кузьме́нки
Кузьменків	Кузьменкі́в,Кузьме́нків
Кузьмине	Кузьмине́,Кузьми́не
кузьминська	кузьминська́,кузьми́нська
кузьминське	кузьминське́,кузьми́нське
кузьминський	кузьминськи́й,кузьми́нський
кузьминським	кузьминськи́м,кузьми́нським
кузьминськими	кузьминськи́ми,кузьми́нськими
кузьминських	кузьминськи́х,кузьми́нських
кузьминські	кузьминські́,кузьми́нські
кузьминській	кузьминські́й,кузьми́нській
кузьминськім	кузьминські́м,кузьми́нськім
кузьминського	кузьминсько́го,кузьми́нського
кузьминської	кузьминсько́ї,кузьми́нської
кузьминському	кузьминсько́му,кузьми́нському
кузьминською	кузьминсько́ю,кузьми́нською
кузьминську	кузьминську́,кузьми́нську
Кузьминці	Кузьми́нці,Ку́зьминці
Кузьмів	Кузьмі́в,Ку́зьмів
Куйбишевським	Куйбише́вським,Ку́йбишевським
Куйбишевського	Куйбише́вського,Ку́йбишевського
Куйбишевському	Куйбише́вському,Ку́йбишевському
кулачкам	кулачка́м,кула́чкам
кулачками	кулачка́ми,кула́чками
кулачках	кулачка́х,кула́чках
кулачки	кулачки́,кула́чки
кулачок	кулачо́к,кула́чок
кулеша	кулеша́,куле́ша
кулешам	кулеша́м,куле́шам
кулешами	кулеша́ми,куле́шами
кулешах	кулеша́х,куле́шах
кулеші	кулеші́,куле́ші
кулешу	кулешу́,куле́шу
кулик	кули́к,ку́лик
кулика	кулика́,ку́лика
куликам	кулика́м,ку́ликам
куликами	кулика́ми,ку́ликами
куликах	кулика́х,ку́ликах
кулики	кулики́,ку́лики
куликів	куликі́в,ку́ликів
куликів-сорок	куликі́в-соро́к,кули́ків-соро́к
куликові	кулико́ві,ку́ликові
куликові-сороці	кулико́ві-соро́ці,кулико́ві-со́році
куликом	кулико́м,ку́ликом
кулику	кулику́,ку́лику
кулику-сороці	кулику́-сороці́,кулику́-соро́ці
Кулі	Кулі́,Ку́лі
кулінаріє	кулінарі́є,куліна́ріє
кулінарією	кулінарі́єю,куліна́рією
кулінарії	кулінарі́ї,куліна́рії
кулінарію	кулінарі́ю,куліна́рію
кулінарія	кулінарі́я,куліна́рія
кульги	кульги́,ку́льги
кулька	кулька́,ку́лька
кулькам	кулька́м,ку́лькам
кульками	кулька́ми,ку́льками
кульках	кулька́х,ку́льках
кульки	кульки́,ку́льки
кулькові	кулькові́,кулько́ві
кульку	кульку́,ку́льку
кульок	кульо́к,ку́льок
кума	кума́,ку́ма
Куманова	Ку́манова,Ку́ма́нова
Куманові	Ку́манові,Ку́ма́нові
Кумановом	Ку́мановом,Ку́ма́новом
Куманову	Ку́манову,Ку́ма́нову
кумасі	кумасі́,кума́сі
кумасю	кумасю́,кума́сю
кумася	кумася́,кума́ся
кумасям	кумася́м,кума́сям
кумасями	кумася́ми,кума́сями
кумасях	кумася́х,кума́сях
кумачу	кумачу́,кума́чу
Кумачу	Кумачу́,Кума́чу
Кумейкам	Куме́йкам,Ку́мейкам
Кумейками	Куме́йками,Ку́мейками
Кумейки	Куме́йки,Ку́мейки
Кумейків	Куме́йків,Ку́мейків
куми	куми́,ку́ми
Куми	Куми́,Ку́ми
кумі	кумі́,ку́мі
Кумі	Кумі́,Ку́мі
куму	куму́,ку́му
Куму	Куму́,Ку́му
кумцеві	кумце́ві,ку́мцеві
кумцем	кумце́м,ку́мцем
кумці	кумці́,ку́мці
кумців	кумці́в,ку́мців
кумцю	кумцю́,ку́мцю
кумця	кумця́,ку́мця
кумцям	кумця́м,ку́мцям
кумцями	кумця́ми,ку́мцями
кумцях	кумця́х,ку́мцях
куна	куна́,ку́на
Куна	Куна́,Ку́на
куни	куни́,ку́ни
Куни	Куни́,Ку́ни
куницька	куни́цька,ку́ницька
куницьке	куни́цьке,ку́ницьке
куницький	куни́цький,ку́ницький
куницьким	куни́цьким,ку́ницьким
куницькими	куни́цькими,ку́ницькими
куницьких	куни́цьких,ку́ницьких
куницькі	куни́цькі,ку́ницькі
куницькій	куни́цькій,ку́ницькій
куницькім	куни́цькім,ку́ницькім
куницького	куни́цького,ку́ницького
куницької	куни́цької,ку́ницької
куницькому	куни́цькому,ку́ницькому
куницькою	куни́цькою,ку́ницькою
куницьку	куни́цьку,ку́ницьку
кунича	кунича́,куни́ча
куні	куні́,ку́ні
Куні	Куні́,Ку́ні
куною	куно́ю,ку́ною
кунтушу	ку́нтушу́,ку́нту́шу
куну	куну́,ку́ну
Куну	Куну́,Ку́ну
Кунцеві	Кунце́ві,Ку́нцеві
Кунці	Кунці́,Ку́нці
Куньє	Куньє́,Ку́ньє
купелі	купе́лі,ку́пелі
Купелі	Купе́лі,Ку́пелі
купелів	купе́лів,ку́пелів
купелям	купе́лям,ку́пелям
купелями	купе́лями,ку́пелями
купелях	купе́лях,ку́пелях
купи	купи́,ку́пи
купин	купи́н,ку́пи́н
купина	купина́,купи́на,ку́пина́
купинам	купи́нам,ку́пи́нам
купинами	купи́нами,ку́пи́нами
купинах	купи́нах,ку́пи́нах
купини	купини́,купи́ни,ку́пини́,ку́пи́ни
купині	купині́,купи́ні,ку́пині́
купино	купи́но,ку́пи́но
купиною	купино́ю,купи́ною,ку́пино́ю
купину	купину́,купи́ну,ку́пину́
купки	ку́пки,ку́пки́
куплю	куплю́,ку́плю
купно	купно́,ку́пно
Купріне	Купріне,Купріне́
Купріним	Купріним,Купріни́м
купці	купці́,ку́пці
купчих	купчи́х,ку́пчих
Куре	Куре́,Ку́ре
кури	кури́,ку́ри
Курилам	Курила́м,Кури́лам
Курилами	Курила́ми,Кури́лами
Курили	Курили́,Кури́ли
Курилів	Курилі́в,Кури́лів
курим	кури́м,ку́рим
куримо	куримо́,ку́римо
курите	курите́,ку́рите
курить	кури́ть,ку́рить
куриться	кури́ться,ку́риться
куриш	кури́ш,ку́риш
курища	кури́ща,ку́рища
курище	кури́ще,ку́рище
курищем	кури́щем,ку́рищем
курищі	кури́щі,ку́рищі
курищу	кури́щу,ку́рищу
Курі	Курі́,Ку́рі
Курівці	Курі́вці,Ку́рівці
курії	курії́,ку́рії
курій	курі́й,ку́рій
курінні	курінні́,курі́нні
куріпки	курі́пки,курі́пки́
куріпочки	курі́почки,курі́почки́
курію	курію́,курі́ю,ку́рію
курія	курія́,ку́рія
куріям	курія́м,ку́ріям
куріями	курія́ми,ку́ріями
куріях	курія́х,ку́ріях
курка	курка́,ку́рка
куркам	курка́м,ку́ркам
курками	курка́ми,ку́рками
курках	курка́х,ку́рках
курки	курки́,ку́рки
курку	курку́,ку́рку
куркулю	куркулю́,курку́лю
Курним	Курни́м,Ку́рним
Курного	Курно́го,Ку́рного
Курному	Курно́му,Ку́рному
курок	куро́к,ку́рок
курочки	курочки́,ку́рочки
курсові	курсові́,ку́рсові
Куру	Куру́,Ку́ру
курці	курці́,ку́рці
курям	куря́м,ку́рям
курять	куря́ть,ку́рять
куряться	куря́ться,ку́ряться
курячи	курячи́,ку́рячи
курячись	курячи́сь,ку́рячись
кускові	кускові́,куско́ві
куснем	кусне́м,ку́снем
кустарю	кустарю́,куста́рю
кута	кута́,ку́та
Кутаїсі	Кутаї́сі,Кута́їсі
куте	куте́,ку́те
кути	кути́,ку́ти
Кути	Кути́,Ку́ти
куті	куті́,ку́ті
куткові	куткові́,кутко́ві
Кутлаш	Кутлаш,Кутла́ш
кутові	кутові́,куто́ві
куту	куту́,ку́ту
Кухарі	Кухарі́,Ку́харі
Кухарів	Кухарі́в,Ку́харів
Кухарям	Кухаря́м,Ку́харям
Кухарями	Кухаря́ми,Ку́харями
кухлеві	кухле́ві,ку́хлеві
кухля	кухля́,ку́хля
кухлям	кухля́м,ку́хлям
кучки	ку́чки,ку́чки́
куща	куща́,ку́ща
кущам	куща́м,ку́щам
кущами	куща́ми,ку́щами
кущах	куща́х,ку́щах
кущі	кущі́,ку́щі
кущу	кущу́,ку́щу
куючи	куючи́,кую́чи
лавки	лавки́,ла́вки
Лавра	Лавра́,Ла́вра
Лаврам	Лавра́м,Ла́врам
Лаврами	Лавра́ми,Ла́врами
Лаврах	Лавра́х,Ла́врах
